TokenPattern	PatternLength
return-expr-class-block-return-expr-class-block-function-block-block_content-expr_stmt-expr-operator	100
function-block-block_content-class-block-class-block-expr_stmt-expr-block-return-expr-call-name-name	100
function-block-block_content-class-block-class-block-function-block-block_content-function-type-name	100
if_stmt-if-block-block_content-expr_stmt-expr-block-try-block-block_content-expr_stmt-expr-call-name	100
if_stmt-if-block-block_content-while-block-block_content-decl_stmt-decl-init-expr-call-name-operator	100
if_stmt-if-block-block_content-while-block-block_content-decl_stmt-decl-init-expr-call-argument_list	100
if_stmt-if-block-block_content-if_stmt-else-block-block_content-for-control-condition-expr-name-name	100
function-block-block_content-for-block-block_content-function-block-block_content-expr_stmt-operator	100
for-expr_stmt-expr-block-expr-block-while-block-block_content-decl_stmt-decl-init-expr-name-operator	100
catch-block-block_content-function-block-block_content-while-block-block_content-expr_stmt-expr-name	100
class-block-function-block-block_content-switch-block-block_content-decl_stmt-decl-init-expr-literal	100
expr_stmt-expr-block-expr-block-block_content-return-expr-call-argument_list-argument-expr-call-name	100
function-block-block_content-function-block-block_content-for-block-block_content-expr_stmt-operator	100
